Taluk_District,Late Registered events 2021_Births_Male,Late Registered events 2021_Births_Female,Late Registered events 2021_Births_Transgender,Late Registered events 2021_Births_Total,Late Registered events 2021_Deaths_Male,Late Registered events 2021_Deaths_Female,Late Registered events 2021_Deaths_Transgender,Late Registered events 2021_Deaths_Total
Chikkodi,112,59,0,171,31,22,0,53
Athani,106,67,0,173,26,34,0,60
Raibag,234,178,0,412,29,25,0,54
Gokak,192,122,0,314,35,14,0,49
Hukkeri,118,101,0,219,52,31,0,83
Belagavi,356,266,0,622,237,120,0,357
Khanapur,91,64,0,155,58,50,0,108
Savadatti,56,34,0,90,42,40,0,82
Bailhongal,29,26,0,55,35,38,0,73
Ramadurg,77,65,0,142,28,23,0,51
Kitthuru,25,13,0,38,6,7,0,13
Nippani,16,16,0,32,14,10,0,24
Kagavada,27,18,0,45,7,5,0,12
Mudalagi,100,57,0,157,10,9,0,19
Yaragatti,6,9,0,15,11,2,0,13
Jamakhandi,287,205,0,492,32,49,0,81
Bilagi,51,32,0,83,25,29,0,54
Mudhol,275,212,0,487,13,27,0,40
Badami,246,170,0,416,54,33,0,87
Bagalkote,124,119,0,243,21,17,0,38
Hungund,55,47,0,102,8,11,0,19
Guledagudda,22,24,0,46,7,10,0,17
Ilkal,42,21,0,63,14,4,0,18
RABAKAVI BANAHATTI,90,81,0,171,13,8,0,21
Bijapur,188,172,0,360,51,58,0,109
Indi,199,135,0,334,40,39,0,79
Sindagi,149,101,0,250,16,21,0,37
Basavan Bagewadi,101,51,0,152,35,28,0,63
Muddebihal,64,44,0,108,6,6,0,12
Nidagundi,16,9,0,25,10,7,0,17
Babaleshwara,26,13,0,39,18,17,0,35
Chadachana,44,39,0,83,13,9,0,22
Talikote,62,42,0,104,5,7,0,12
Tikota,24,15,0,39,20,18,0,38
Kolhara,11,9,0,20,12,8,0,20
Devara Hipparagi,60,41,0,101,10,13,0,23
Alamela,25,17,0,42,8,3,0,11
Aland,653,579,0,1232,175,120,0,295
Afzalpur,198,132,0,330,9,4,0,13
Gulbarga,2679,1993,0,4672,92,69,0,161
